,Skinny Love_Bon Iver
0,come
1,skinny
2,love
3,last
4,year
5,pour
6,little
7,salt
8,never
9,my
10,my
11,my
12,my
13,my
14,my
15,my
16,my
17,staring
18,sink
19,blood
20,crushed
21,veneer
22,i
23,tell
24,my
25,love
26,wreck
27,cut
28,ropes
29,let
30,me
31,fall
32,my
33,my
34,my
35,my
36,my
37,my
38,my
39,my
40,right
41,moment
42,order's
43,tall
44,i
45,told
46,you
47,patient
48,i
49,told
50,you
51,fine
52,i
53,told
54,you
55,balanced
56,i
57,told
58,you
59,kind
60,morning
61,i'll
62,you
63,different
64,kind
65,i'll
66,holding
67,tickets
68,you'll
69,owning
70,fines
71,come
72,skinny
73,love
74,happened
75,suckle
76,hope
77,light
78,brassieres
79,my
80,my
81,my
82,my
83,my
84,my
85,my
86,my
87,sullen
88,load
89,full
90,slow
91,split
92,i
93,told
94,you
95,patient
96,i
97,told
98,you
99,fine
100,i
101,told
102,you
103,balanced
104,i
105,told
106,you
107,kind
108,your
109,love
110,wasted
111,hell
112,i
113,i'm
114,breaking
115,britches
116,end
117,your
118,lines
119,love
120,you
121,fight
122,fall
123,far
124,behind
