,Only the Young_Brandon Flowers
0,look
1,back
2,silence
3,cradle
4,your
5,whole
6,life
7,distance
8,losing
9,greatest
10,prize
11,nothing
12,easy
13,nothing
14,sacred
15,bow
16,break
17,happened
18,your
19,time
20,people
21,lovely
22,you've
23,ever
24,seen
25,tonight
26,baby
27,you
28,start
29,laughing
30,open
31,air
32,yourself
33,another
34,dream
35,tonight
36,maybe
37,start
38,young
39,break
40,away
41,break
42,away
43,lost
44,wind
45,blow
46,your
47,young
48,break
49,away
50,break
51,away
52,lost
53,wind
54,blows
55,your
56,mother
57,cold
58,father
59,thy
60,done
61,thunder
62,lightning
63,crashing
64,got
65,me
66,run
67,direct
68,me
69,sun
70,redemption
71,keeps
72,my
73,covers
74,clean
75,tonight
76,baby
77,start
78,young
79,break
80,away
81,break
82,away
83,lost
84,wind
85,blows
86,your
87,young
88,break
89,away
90,break
91,away
92,lost
93,wind
94,blows
95,your
96,sun
97,shine
98,sun
99,shine
100,you
101,looking
102,sign
103,you
104,caught
105,lie
106,ha
107,ha
108,ha
109,ha
110,ha
111,ha
112,ha
113,ha
114,ha
115,ha
116,young
117,break
118,away
119,break
120,away
121,lost
122,wind
123,blows
124,your
125,young
126,break
127,away
128,break
129,away
130,lost
131,wind
132,blows
133,your
134,young
135,lost
136,wind
137,blows
138,young
139,ha
140,ha
141,ha
142,ha
143,ha
144,lost
145,wind
146,blows
