,Nothing Even Matters_Lauryn Hill
0,whoa
1,ooh
2,umm
3,yeah
4,yeah
5,whoa
6,ooh
7,whoa
8,ow
9,yeah
10,yeah
11,yeah
12,yeah
13,oh
14,oh
15,oh
16,lauryn
17,hill
18,skies
19,could
20,fall
21,even
22,my
23,boss
24,call
25,world
26,seems
27,small
28,'cause
29,nothing
30,even
31,matters
32,see
33,nothing
34,even
35,matters
36,see
37,nothing
38,even
39,matters
40,nothing
41,even
42,matters
43,nothing
44,even
45,matters
46,d'angelo
47,see
48,i
49,need
50,alcohol
51,your
52,love
53,make
54,me
55,feel
56,ten
57,feet
58,tall
59,yeah
60,without
61,i'd
62,go
63,withdrawal
64,'cause
65,nothing
66,even
67,matters
68,nothing
69,even
70,matters
71,nothing
72,even
73,matters
74,nothing
75,even
76,matters
77,nothing
78,matters
79,lauryn
80,hill
81,buildings
82,could
83,drift
84,sea
85,natural
86,catastrophe
87,still
88,there's
89,place
90,i'd
91,rather
92,'cause
93,nothing
94,even
95,matters
96,me
97,see
98,nothing
99,even
100,matters
101,yeah
102,see
103,nothing
104,even
105,matters
106,me
107,nothing
108,even
109,matters
110,nothing
111,even
112,matters
113,me
114,d'angelo
115,you're
116,part
117,my
118,identity
119,i
120,sometimes
121,tendency
122,look
123,you
124,religiously
125,baby
126,baby
127,'cause
128,nothing
129,even
130,matters
131,me
132,nothing
133,even
134,matters
135,nothing
136,even
137,matters
138,me
139,said
140,matter
141,baby
142,baby
143,matter
144,lauryn
145,hill
146,you
147,find
148,me
149,store
150,i
151,time
152,manicures
153,you
154,never
155,eitheror
156,cause
157,nothing
158,even
159,matters
160,see
161,nothing
162,matter
163,see
164,nothing
165,even
166,matters
167,nothing
168,even
169,matters
170,nothing
171,even
172,matters
173,d'angelo
174,my
175,team
176,could
177,score
178,make
179,final
180,four
181,repossessed
182,my
183,four
184,four
185,'cause
186,nothing
187,even
188,matters
189,nothing
190,even
191,matters
192,nothing
193,even
194,matters
195,nothing
196,even
197,matters
198,lauryn
199,hill
200,d'angelo
201,me
202,me
203,me
204,me
205,me
206,me
207,me
208,me
209,me
210,me
211,freestyle
212,singing
213,end
