,Skinny Love_Birdy
0,come
1,skinny
2,love
3,last
4,year
5,pour
6,little
7,salt
8,never
9,my
10,my
11,my
12,my
13,my
14,my
15,my
16,my
17,staring
18,sink
19,blood
20,crushed
21,veneer
22,i
23,tell
24,my
25,love
26,wreck
27,cut
28,ropes
29,let
30,me
31,fall
32,my
33,my
34,my
35,my
36,my
37,my
38,my
39,my
40,right
41,moment
42,order's
43,tall
44,i
45,told
46,you
47,patient
48,i
49,told
50,you
51,fine
52,i
53,told
54,you
55,balanced
56,i
57,told
58,you
59,kind
60,morning
61,i'll
62,you
63,different
64,kind
65,'cause
66,i'll
67,holding
68,tickets
69,you'll
70,owning
71,fines
72,come
73,skinny
74,love
75,happened
76,suckled
77,hope
78,lite
79,brassieres
80,my
81,my
82,my
83,my
84,my
85,my
86,my
87,my
88,sullen
89,load
90,full
91,slow
92,split
93,i
94,told
95,you
96,patient
97,i
98,told
99,you
100,fine
101,i
102,told
103,you
104,balanced
105,i
106,told
107,you
108,kind
109,your
110,love
111,wasted
112,hell
113,i
114,'cause
115,i'm
116,breaking
117,bridges
118,end
119,your
120,lines
121,love
122,you
123,fight
124,fall
125,far
126,behind
127,come
128,skinny
129,love
130,my
131,my
132,my
133,my
134,my
135,my
136,my
137,my
