,Lean on Me_Bill Withers
0,hmm
1,hmm
2,hmm
3,hmm
4,hmm
5,hmm
6,hmm
7,hmm
8,hmm
9,hmm
10,hmm
11,hmm
12,hmm
13,hmm
14,sometimes
15,lives
16,pain
17,sorrow
18,wise
19,know
20,there's
21,always
22,tomorrow
23,lean
24,strong
25,i'll
26,friend
27,i'll
28,help
29,carry
30,long
31,'til
32,i'm
33,gonna
34,need
35,somebody
36,lean
37,please
38,swallow
39,pride
40,things
41,need
42,borrow
43,one
44,fill
45,needs
46,let
47,show
48,bridge
49,call
50,brother
51,need
52,hand
53,need
54,somebody
55,lean
56,might
57,problem
58,understand
59,need
60,somebody
61,lean
62,lean
63,strong
64,i'll
65,friend
66,i'll
67,help
68,carry
69,long
70,'til
71,i'm
72,gonna
73,need
74,somebody
75,lean
76,bridge
77,call
78,brother
79,need
80,hand
81,need
82,somebody
83,lean
84,might
85,problem
86,understand
87,need
88,somebody
89,lean
90,load
91,bear
92,can't
93,carry
94,i'm
95,right
96,road
97,i'll
98,share
99,load
100,call
101,outro
102,call
103,need
104,friend
105,call
106,call
107,uhuh
108,uhuh
109,call
110,need
111,friend
112,call
113,ever
114,need
115,friend
116,call
117,call
118,call
119,call
120,call
121,call
122,call
123,call
124,call
125,need
126,friend
127,call
128,call
129,call
130,call
131,call
132,call
133,call
134,call
135,call
