,Rank,Song Name,Artist,Duration,Album,Year,Lyrics
10,11,She Will Be Loved,Maroon 5,379,Songs About Jane,2002-06-25,"[Verse 1]
Beauty queen of only eighteen
She had some trouble with herself
He was always there to help her
She always belonged to someone else
I drove for miles and miles
And wound up at your door
I've had you so many times
But somehow, I want more

[Chorus]
I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay a while
And she will be loved
And she will be loved

[Verse 2]
Tap on my window, knock on my door
I want to make you feel beautiful
I know I tend to get so insecure
Doesn't matter anymore
It's not always rainbows and butterflies
It's compromise that moves us along, yeah
My heart is full and my door's always open
You come any time you want, yeah

[Chorus]
I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay a while
And she will be loved
And she will be loved
And she will be loved
And she will be loved

[Bridge]
I know where you hide
Alone in your car
Know all of the things that make you who you are
I know that goodbye means nothing at all
Comes back and makes me catch her every time she falls, yeah
Tap on my window, knock on my door
I want to make you feel beautiful

[Chorus]
I don't mind spending every day
Out on your corner in the pouring rain, oh
Look for the girl with the broken smile
Ask her if she wants to stay a while
And she will be loved
And she will be loved
And she will be loved
And she will be loved

[Outro fading out]
I don't mind spending every day
Out on your corner in the pouring rain
Please don't try so hard to say goodbye"
11,12,Such Great Heights,The Postal Service,262,Give Up,2003-01-01,"[Verse 1]
I am thinking it's a sign
That the freckles in our eyes
Are mirror images
And when we kiss they're perfectly aligned

And I have to speculate
That God himself did make
Us into corresponding shapes
Like puzzle pieces from the clay

[Verse 2]
And true, it may seem like a stretch
But it's thoughts like this that catch
My troubled head when you're away
When I am missing you to death

When you are out there on the road
For several weeks of shows
And when you scan the radio
I hope this song will guide you home

[Chorus]
They will see us waving from such great heights
""Come down now,"" they'll say
But everything looks perfect from far away
""Come down now,"" but we'll stay

[Verse 3]
I tried my best to leave
This all on your machine
But the persistent beat
It sounded thin upon listening

And that frankly will not fly
You will hear the shrillest highs
And lowest lows with the windows down
When this is guiding you home

[Chorus]
They will see us waving from such great heights
""Come down now,"" they'll say
But everything looks perfect from far away
""Come down now,"" but we'll stay

They will see us waving from such great heights
""Come down now,"" they'll say
But everything looks perfect from far away
""Come down now,"" but we'll stay

[Outro]
(They will see us waving from such great heights)
(Come down now)
They will see us waving from such great heights
(Come down now)"
12,13,Skinny Love,Bon Iver,239,"For Emma, Forever Ago",2007-07-08,"[Verse 1]
Come on, skinny love, just last the year
Pour a little salt, we were never here
My, my, my, my, my, my, my, my
Staring at the sink of blood and crushed veneer
I tell my love to wreck it all
Cut out all the ropes and let me fall
My, my, my, my, my, my, my, my
Right in this moment, this order's tall

[Chorus]
And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind
And in the morning I'll be with you
But it will be a different kind
And I'll be holding all the tickets
And you'll be owning all the fines

[Verse 2]
Come on, skinny love, what happened here?
Suckle on the hope in light brassieres
My, my, my, my, my, my, my, my
Sullen load is full, so slow on the split

[Chorus]
And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind
And now all your love is wasted
And then who the hell was I?
And I'm breaking at the britches
And at the end of all your lines

[Verse 3]
Who will love you?
Who will fight?
Who will fall far behind?"
13,14,Fake Plastic Trees,Radiohead,285,The Bends,1995-05-15,"[Verse 1]
A green plastic watering can
For a fake Chinese rubber plant
In a fake plastic earth
That she bought from a rubber man
In a town full of rubber plans
To get rid of itself

[Chorus 1]
It wears her out
It wears her out
It wears her out
It wears her out

[Verse 2]
She lives with a broken man
A cracked polystyrene man
Who just crumbles and burns
He used to do surgery
For girls in the 80s
But gravity always wins

[Chorus 2]
And it wears him out
It wears him out
It wears him out
It wears

[Verse 3]
She looks like the real thing
She tastes like the real thing
My fake plastic love
But I can't help the feeling
I could blow through the ceiling
If I just turn and run

[Chorus 3]
And it wears me out
It wears me out
It wears me out
It wears me out

[Outro]
And if I could be who you wanted
If I could be who you wanted
All the time
All the time"
14,15,Friday I'm in Love,The Cure,214,Greatest Hits,1992-05-11,"[Verse 1]
I don't care if Monday's blue
Tuesday's grey and Wednesday too
Thursday I don't care about you
It's Friday, I'm in love
Monday you can fall apart
Tuesday, Wednesday, break my heart
Oh, Thursday doesn't even start
It's Friday, I'm in love

[Chorus]
Saturday, wait
And Sunday always comes too late
But Friday, never hesitate

[Verse 2]
I don't care if Monday's black
Tuesday, Wednesday heart attack
Thursday never looking back
It's Friday, I'm in love

[Verse 3]
Monday you can hold your head
Tuesday, Wednesday stay in bed
Or Thursday watch the walls instead
It's Friday, I'm in love

[Chorus]
Saturday, wait
And Sunday always comes too late
But Friday, never hesitate

[Bridge]
Dressed up to the eyes
It's a wonderful surprise
To see your shoes and your spirits rise
Throwing out your frown
And just smiling at the sound
And as sleek as a shriek
Spinning round and round
Always take a big bite
It's such a gorgeous sight
To see you eat in the middle of the night
You can never get enough
Enough of this stuff
It's Friday I'm in love

[Verse 4]
I don't care if Monday's blue
Tuesday's grey and Wednesday too
Thursday I don't care about you
It's Friday, I'm in love
Monday you can fall apart
Tuesday, Wednesday break my heart
Thursday doesn't even start
It's Friday, I'm in love"
15,16,Somewhere Only We Know,Keane,234,Hopes and Fears,2004-02-16,"[Verse 1]
I walked across an empty land
I knew the pathway like the back of my hand
I felt the earth beneath my feet
Sat by the river, and it made me complete

[Pre-Chorus]
Oh, simple thing, where have you gone?
I'm getting old and I need something to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

[Verse 2]
I came across a fallen tree
I felt the branches of it looking at me
Is this the place we used to love?
Is this the place that I've been dreaming of?

[Pre-Chorus]
Oh, simple thing, where have you gone?
I'm getting old and I need something to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

[Chorus]
And if you have a minute, why don't we go
Talk about it somewhere only we know?
This could be the end of everything
So why don't we go
Somewhere only we know?
Somewhere only we know?

[Pre-Chorus]
Oh, simple thing, where have you gone?
I'm getting old and I need something to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

[Chorus]
And if you have a minute, why don't we go
Talk about it somewhere only we know?
This could be the end of everything
So why don't we go?
So why don't we go?
Ooh, aah

[Outro]
This could be the end of everything
So why don't we go
Somewhere only we know?
Somewhere only we know
Somewhere only we know"
16,17,This Love,Maroon 5,0,Songs About Jane,2002-06-25,"[Verse 1]
I was so high I did not recognize
The fire burning in her eyes
The chaos that controlled my mind
Whispered goodbye as she got on a plane
Never to return again
But always in my heart

[Chorus]
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice, 'cause I won't say goodbye anymore

[Verse 2]
I tried my best to feed her appetite
Keep her coming every night
So hard to keep her satisfied
Keep playing love like it was just a game
Pretending to feel the same
Then turn around and leave again

[Chorus]
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice, 'cause I won't say goodbye anymore

[Bridge]
I'll fix these broken things
Repair your broken wings
And make sure everything's alright (It's alright, it's alright)
My pressure on your hips
Sinking my fingertips
Into every inch of you
'Cause I know that's what you want me to do

[Chorus]
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice, 'cause I won't say goodbye anymore
This love has taken its toll on me
She said goodbye too many times before
And my heart is breaking in front of me
She said goodbye too many times before
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
I have no choice, 'cause I won't say goodbye anymore"
17,18,Best I Ever Had,Drake,257,So Far Gone,2009-02-13,"[Intro]
You know, a lot of girls be
Thinkin' my songs are about them
This is not to get confused
This one's for you

[Chorus]
Baby, you my everything, you all I ever wanted
We could do it real big, bigger than you ever done it
You be up on everything, other hoes ain't never on it
I want this forever, I swear I can spend whatever on it
'Cause she hold me down every time I hit her up
When I get right, I promise that we gon' live it up
She made me beg for it 'til she give it up
And I say the same thing every single time
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had
I say, you the fuckin'

[Verse 1]
Know you got a roommate, call me when there's no one there
Put the key under the mat and you know I be over there (Yup)
I be over there, shawty, I be over there
I be hittin' all the spots that you ain't even know was there
And you don't even have to ask twice
You could have my heart or we could share it like the last slice
Always felt like you was so accustomed to the fast life
Have a nigga thinkin' that he met you in a past life
Sweatpants, hair tied, chillin' with no make-up on
That's when you're the prettiest
I hope that you don't take it wrong
You don't even trip when friends say
""You ain't bringin' Drake along?""
You know that I'm workin', I'll be there soon as I make it home
And she a patient in my waiting room
Never pay attention to the rumors and what they assume
And until them girls prove it
I'm the one that never get confused with, 'cause

[Chorus]
Baby, you my everything, you all I ever wanted
We could do it real big, bigger than you ever done it
You be up on everything, other hoes ain't never on it
I want this forever, I swear I can spend whatever on it
'Cause she hold me down every time I hit her up
When I get right, I promise that we gon' live it up
She made me beg for it 'til she give it up
And I say the same thing every single time
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had
I say, you the fuckin'

[Verse 2]
Sex, Love, Pain, baby, I be on that Tank shit
Buzz so big I could probably sell a blank disc
When my album drop, bitches'll buy it for the picture
And niggas'll buy it too and claim they got it for they sister
Magazine paper, girl, the money ain't the issue
They bring dinner to my room and ask me to initial
She call me the referee 'cause I be so official
My shirt ain't got no stripes, but I can make your pussy whistle
Like the Andy Griffith theme song
And who told you to put them jeans on?
Double cup love, you the one I lean on
Feelin' for a fix, then you should really get your fiend on
Yeah, just know my condo is the crack spot
Every single show, she out there reppin' like a mascot
Get it from the back and make your fuckin' bra strap pop
All up in your slot 'til a nigga hit the jackpot, I'm saying

[Chorus]
Baby, you my everything, you all I ever wanted
We could do it real big, bigger than you ever done it
You be up on everything, other hoes ain't never on it
I want this forever, I swear I can spend whatever on it
'Cause she hold me down every time I hit her up
When I get right, I promise that we gon' live it up
She made me beg for it 'til she give it up
And I say the same thing every single time
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had

[Outro]
Uhh, ah yeah
See, this the type of joint you gotta dedicate to somebody
Just make sure they that special somebody
Young Money, yeah, yeah
You know who you are
I got you"
18,19,I MISS YOU,blink-182,227,,2004-02-01,"[Intro: Mark Hoppus]
I miss you, I miss you

[Verse 1: Mark Hoppus]
Hello there
The angel from my nightmare
The shadow in the background of the morgue
The unsuspecting victim of darkness in the valley
We can live like Jack and Sally if we want
Where you can always find me
And we'll have Halloween on Christmas
And in the night we'll wish this never ends
We'll wish this never ends

[Interlude: Mark Hoppus]
I miss you, I miss you
I miss you, I miss you

[Verse 2: Tom DeLonge]
Where are you?
And I'm so sorry
I cannot sleep, I cannot dream tonight
I need somebody and always
This sick, strange darkness
Comes creeping on so haunting every time
And as I stare I counted
The webs from all the spiders
Catching things and eating their insides
Like indecision to call you
And hear your voice of treason
Will you come home and stop this pain tonight?
Stop this pain tonight

[Chorus: Tom DeLonge and Mark Hoppus]
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)

[Chorus: Tom DeLonge and Mark Hoppus]
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)

[Outro: Mark Hoppus]
I miss you, I miss you
I miss you, I miss you
I miss you, I miss you
I miss you, I miss you"
19,20,Here Without You,3 Doors Down,235,Away from the Sun,2002-11-12,"[Verse 1]
A hundred days have made me older
Since the last time that I saw your pretty face
A thousand lies have made me colder
And I don't think I can look at this the same
But all the miles that separate
Disappear now when I'm dreaming of your face

[Chorus]
I'm here without you, baby
But you're still on my lonely mind
I think about you, baby
And I dream about you all the time
I'm here without you, baby
But you're still with me in my dreams
And tonight, it's only you and me, yeah

[Verse 2]
The miles just keep rolling
As the people leave their way to say hello
I've heard this life is overrated
But I hope that it gets better as we go
Oh yeah, yeah

[Chorus]
I'm here without you, baby
But you're still on my lonely mind
I think about you, baby
And I dream about you all the time
I'm here without you, baby
But you're still with me in my dreams
And tonight, girl, it's only you and me, yeah

[Bridge]
Everything I know, and anywhere I go
It gets hard, but it won't take away my love
And when the last one falls
When it's all said and done
It gets hard, but it won't take away my love
Whoa, oh, oh

[Instrumental Bridge]

[Chorus]
I'm here without you, baby
But you're still on my lonely mind
I think about you, baby
And I dream about you all the time
I'm here without you, baby
But you're still with me in my dreams
And tonight, girl, it's only you and me...
Yeah
Oh, yeah"
20,21,Someone Like You,Adele,283,21,2011-01-24,"[Verse 1]
I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light

[Pre-Chorus]
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

[Chorus]
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me,"" I beg
I'll remember, you said
""Sometimes it lasts in love, but sometimes it hurts instead.""
""Sometimes it lasts in love, but sometimes it hurts instead.""

[Verse 2]
You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days

[Pre-Chorus]
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

[Chorus]
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me,"" I beg
I'll remember, you said
""Sometimes it lasts in love, but sometimes it hurts instead.""

[Bridge]
Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?

[Breakdown]
Never mind, I'll find someone like you
I wish nothing but the best for you
""Don't forget me,"" I beg
I'll remember, you said
""Sometimes it lasts in love, but sometimes it hurts instead.""

[Chorus]
Never mind, I'll find someone like you
I wish nothing but the best for you, too
""Don't forget me,"" I beg
I'll remember, you said
""Sometimes it lasts in love, but sometimes it hurts instead.""
""Sometimes it lasts in love, but sometimes it hurts instead."""
21,22,Don't Speak,No Doubt,304,The Singles 1992-2003,1996-04-15,"[Verse 1]
You and me, we used to be together
Every day together, always
I really feel that I'm losin' my best friend
I can't believe this could be the end
It looks as though you're lettin' go
And if it's real, well, I don't want to know

[Chorus]
Don't speak, I know just what you're sayin'
So please stop explainin'
Don't tell me 'cause it hurts
Don't speak, I know what you're thinkin'
I don't need your reasons
Don't tell me 'cause it hurts

[Verse 2]
Our memories, well, they can be inviting
But some are altogether mighty frightening
As we die, both you and I
With my head in my hands, I sit and cry

[Chorus]
Don't speak, I know just what you're sayin'
So please stop explainin'
Don't tell me 'cause it hurts (No, no, no)
Don't speak, I know what you're thinkin'
And I don't need your reasons
Don't tell me 'cause it hurts

[Bridge]
It's all ending
We gotta stop pretending who we are

[Guitar Solo]

[Verse 3]
You and me
I can see us dyin', aren't we?

[Chorus]
Don't speak, I know just what you're sayin'
So please stop explainin'
Don't tell me 'cause it hurts
No, no, don't speak, I know what you're thinkin'
And I don't need your reasons
Don't tell me 'cause it hurts

[Outro]
Don't tell me 'cause it hurts
I know what you're sayin'
So please stop explainin'
Don't speak, don't speak, don't speak, no
I know what you're thinkin'
And I don't need your reasons
I know you're good, I know you're good
I know you're real good, oh
La, la, la, la, la, la
Don't, don't, ooh, ooh
Hush, hush, darling
Hush, hush, darling
Hush, hush
Don't tell me 'cause it hurts
Hush, hush, darling
Hush, hush, darling
Hush, hush
Don't tell me 'cause it hurts
Oh, hush, hush, darling
Hush, hush, darling"
