,Unnamed: 0,Rank,Song Name,Artist,Duration,Album,Lyrics,Year,bins
0,0,2,The Scientist,Coldplay,309,A Rush of Blood to the Head,Verse 1Come up to meet you tell you Im sorryYou dont know how lovely you areI had to find you tell you I need youTell you I set you apartTell me your secrets and ask me your questionsOh lets go back to the startRunning in circles coming up tailsHeads on a science apartChorusNobody said it was easyIts such a shame for us to partNobody said it was easyNo one ever said it would be this hardOh take me back to the startVerse 2I was just guessing at numbers and figuresPulling the puzzles apartQuestions of science science and progressDo not speak as loud as my heartTell me you love me come back and haunt meOh and I rush to the startRunning in circles chasing our tailsComing back as we areChorusNobody said it was easyOh its such a shame for us to partNobody said it was easyNo one ever said it would be so hardIm going back to the startOutroOhooh oohoohoohoohAahooh oohoohoohoohOhooh oohoohoohoohOhooh oohoohoohooh,2002,2000s
1,1,3,Yellow,Coldplay,267,Parachutes,Verse 1 Chris MartinLook at the starsLook how they shine for youAnd everything you doYeah they were all yellowI came alongI wrote a song for youAnd all the things you doAnd it was called YellowSo then I took my turnOh what a thing to have doneAnd it was all yellowChorus 1 Chris Jonny  WillAah Your skin oh yeah your skin and bonesOoh Turn into something beautifulAah You know you know I love you soYou know I love you soVerse 2 Chris MartinI swam acrossI jumped across for youOh what a thing to doCause you were all yellowI drew a lineI drew a line for youOh what a thing to doAnd it was all yellowChorus 2 Chris Jonny  WillAah Your skin oh yeah your skin and bonesOoh Turn into something beautifulAah And you knowFor you Id bleed myself dryFor you Id bleed myself dryBridge Chris MartinIts true look how they shine for youLook how they shine for youLook how they shine forLook how they shine for youLook how they shine for youLook how they shineOutro Chris MartinLook at the starsLook how they shine for youAnd all the things that you do,2000,2000s
2,2,4,Fix You,Coldplay,294,X&Y,Verse 1 Chris MartinWhen you try your best but you dont succeedWhen you get what you want but not what you needWhen you feel so tired but you cant sleepStuck in reverseAnd the tears come streaming down your faceWhen you lose something you cant replaceWhen you love someone but it goes to wasteCould it be worseChorus Chris  Will ChrisLights will guide you homeAnd ignite your bonesAnd I will try to fix youVerse 2 Chris MartinAnd high up above or down belowWhen youre too in love to let it goBut if you never try youll never knowJust what youre worthChorus Chris  Will ChrisLights will guide you homeAnd ignite your bonesAnd I will try to fix youInstrumentalBridge Chris Jonny Guy WillTears stream down your faceWhen you lose something you cannot replaceTears stream down your faceAnd IBreakdown Chris Jonny Guy WillTears stream down your faceI promise you I will learn from my mistakesTears stream down your faceAnd IOutro Chris MartinLights will guide you homeAnd ignite your bonesAnd I will try to fix you,2005,2000s
3,3,5,Chasing Cars,Snow Patrol,0,Eyes Open,Verse 1Well do it allEverythingOn our ownWe dont needAnythingOr anyoneChorusIf I lay hereIf I just lay hereWould you lie with meAnd just forget the worldVerse 2I dont quite knowHow to sayHow I feelThose three wordsAre said too muchTheyre not enoughChorusIf I lay hereIf I just lay hereWould you lie with meAnd just forget the worldForget what were toldBefore we get too oldShow me a gardenThats bursting into lifeBridgeLets waste timeChasing carsAround our headsI need your graceTo remind meTo find my ownChorusIf I lay hereIf I just lay hereWould you lie with meAnd just forget the worldForget what were toldBefore we get too oldShow me a gardenThats bursting into lifeChorus 2All that I amAll that I ever wasIs here in your perfect eyesTheyre all I can seeI dont know whereConfused about how as wellJust know that these thingsWill never change for us at allChorusIf I lay hereIf I just lay hereWould you lie with meAnd just forget the world,2006,2000s
4,4,7,I'm Yours,Jason Mraz,242,I'm Yours,Verse 1Well you done done me and you bet I felt itI tried to be chill but youre so hot that I meltedI fell right through the cracksAnd now Im trying to get backBefore the cool done run outIll be giving it my bestestAnd nothings gonna stop me but divine interventionI reckon its again my turnTo win some or learn someChorusBut I wont hesitate no moreNo more it cannot wait Im yoursHmm Hey heyVerse 2Well open up your mind and see like meOpen up your plans and damn youre freeAnd look into your heart and youll find love love love loveListen to the music of the moment people dance and singWere just one big familyAnd its our Godforsaken right to be loved love love love lovedChorusSo I wont hesitate no moreNo more it cannot wait Im surePostChorusTheres no need to complicateOur time is shortThis is our fate Im yoursAdo you do do do you but do you do you do do but do you want to come onScooch on over closer dearAnd I will nibble your earAsoo da ba ba ba ba bumWhoa oh oh ohWhoa oh oh oh oh whoa whoa whoaUhhuh hmmVerse 3Ive been spending way too long checking my tongue in the mirrorAnd bending over backwards just to try to see it clearerBut my breath fogged up the glassAnd so I drew a new face and I laughedI guess what Ive been saying is there aint no better reasonTo rid yourself of vanities and just go with the seasonsIts what we aim to doOur name is our virtueChorusBut I wont hesitate no moreNo more it cannot wait Im yoursVerse 4Well open up your mind and see like me I wont hesitateOpen up your plans and damn youre free No more no moreAnd look into your heart and youll find that It cannot waitThe sky is yours Im sure theres noSo please dont please dont please dont No need oh now nowTheres no need to complicate For the reggae our timeCause our time is short Is short thisThis oh this oh this is our fate Is our fateIm yours haOutroBrr da ba mmm da ba bo mmm dayNa ch doo doo ch doo doo ch doo doo mmm doo dooHey hey Oh Im yours ohoh Im yoursOhohohoh whoaohohohBaby do you believe Im yoursYou best believe you best believe Im yours hmm,2008,2000s
5,5,8,I Will Follow You Into The Dark,Death Cab for Cutie,0,Plans,Verse 1Love of mine someday you will dieBut Ill be close behind Ill follow you into the darkNo blinding light or tunnels to gates of whiteJust our hands clasped so tight waiting for the hint of a sparkChorusIf Heaven and Hell decide that they both are satisfiedIlluminate the Nos on their Vacancy signsIf theres no one beside you when your soul embarksThen Ill follow you into the darkVerse 2In Catholic school as vicious as Roman ruleI got my knuckles bruised by a lady in blackAnd I held my tongue as she told me SonFear is the heart of love so I never went backChorusIf Heaven and Hell decide that they both are satisfiedIlluminate the Nos on their Vacancy signsIf theres no one beside you when your soul embarksThen Ill follow you into the darkBridgeYou and me have seen everything to seeFrom Bangkok to Calgary and the soles of your shoesAre all worn down the time for sleep is nowIts nothing to cry about cause well hold each other soonIn the blackest of roomsChorusAnd if Heaven and Hell decide that they both are satisfiedAnd illuminate the Nos on their Vacancy signsIf theres no one beside you when your soul embarksThen Ill follow you into the darkOutroThen Ill follow you into the dark,2006,2000s
6,6,9,How to Save a Life,The Fray,290,How to Save a Life,Verse 1Step one you say we need to talkHe walks you say sit down its just a talkHe smiles politely back at youYou stare politely right on throughSome sort of window to your rightAs he goes left and you stay rightBetween the lines of fear and blameYou begin to wonder why you cameChorusWhere did I go wrong I lost a friendSomewhere along in the bitternessAnd I would have stayed up with you all nightHad I known how to save a lifeVerse 2Let him know that you know bestCause after all you do know bestTry to slip past his defenseWithout granting innocenceLay down a list of what is wrongThe things youve told him all alongAnd pray to God He hears youAnd pray to God He hears you andChorusWhere did I go wrong I lost a friendSomewhere along in the bitternessAnd I would have stayed up with you all nightHad I known how to save a lifeVerse 3As he begins to raise his voiceYou lower yours and grant him one last choiceDrive until you lose the roadOr break with the ones youve followedHe will do one of two thingsHe will admit to everythingOr hell say hes just not the sameAnd youll begin to wonder why you cameChorusWhere did I go wrong I lost a friendSomewhere along in the bitternessAnd I would have stayed up with you all nightHad I known how to save a lifeWhere did I go wrong I lost a friendSomewhere along in the bitternessAnd I would have stayed up with you all nightHad I known how to save a lifeRefrainHow to save a lifeHow to save a lifeChorusWhere did I go wrong I lost a friendSomewhere along in the bitternessAnd I would have stayed up with you all nightHad I known how to save a lifeWhere did I go wrong I lost a friendSomewhere along in the bitternessAnd I would have stayed up with you all nightHad I known how to save a lifeOutroHow to save a lifeHow to save a life,2005,2000s
7,7,11,She Will Be Loved,Maroon 5,379,Songs About Jane,Verse 1Beauty queen of only eighteenShe had some trouble with herselfHe was always there to help herShe always belonged to someone elseI drove for miles and milesAnd wound up at your doorIve had you so many timesBut somehow I want moreChorusI dont mind spending every dayOut on your corner in the pouring rainLook for the girl with the broken smileAsk her if she wants to stay a whileAnd she will be lovedAnd she will be lovedVerse 2Tap on my window knock on my doorI want to make you feel beautifulI know I tend to get so insecureDoesnt matter anymoreIts not always rainbows and butterfliesIts compromise that moves us along yeahMy heart is full and my doors always openYou come any time you want yeahChorusI dont mind spending every dayOut on your corner in the pouring rainLook for the girl with the broken smileAsk her if she wants to stay a whileAnd she will be lovedAnd she will be lovedAnd she will be lovedAnd she will be lovedBridgeI know where you hideAlone in your carKnow all of the things that make you who you areI know that goodbye means nothing at allComes back and makes me catch her every time she falls yeahTap on my window knock on my doorI want to make you feel beautifulChorusI dont mind spending every dayOut on your corner in the pouring rain ohLook for the girl with the broken smileAsk her if she wants to stay a whileAnd she will be lovedAnd she will be lovedAnd she will be lovedAnd she will be lovedOutro fading outI dont mind spending every dayOut on your corner in the pouring rainPlease dont try so hard to say goodbye,2002,2000s
8,8,12,Such Great Heights,The Postal Service,262,Give Up,Verse 1I am thinking its a signThat the freckles in our eyesAre mirror imagesAnd when we kiss theyre perfectly alignedAnd I have to speculateThat God himself did makeUs into corresponding shapesLike puzzle pieces from the clayVerse 2And true it may seem like a stretchBut its thoughts like this that catchMy troubled head when youre awayWhen I am missing you to deathWhen you are out there on the roadFor several weeks of showsAnd when you scan the radioI hope this song will guide you homeChorusThey will see us waving from such great heightsCome down now theyll sayBut everything looks perfect from far awayCome down now but well stayVerse 3I tried my best to leaveThis all on your machineBut the persistent beatIt sounded thin upon listeningAnd that frankly will not flyYou will hear the shrillest highsAnd lowest lows with the windows downWhen this is guiding you homeChorusThey will see us waving from such great heightsCome down now theyll sayBut everything looks perfect from far awayCome down now but well stayThey will see us waving from such great heightsCome down now theyll sayBut everything looks perfect from far awayCome down now but well stayOutroThey will see us waving from such great heightsCome down nowThey will see us waving from such great heightsCome down now,2003,2000s
9,9,13,Skinny Love,Bon Iver,239,"For Emma, Forever Ago",Verse 1Come on skinny love just last the yearPour a little salt we were never hereMy my my my my my my myStaring at the sink of blood and crushed veneerI tell my love to wreck it allCut out all the ropes and let me fallMy my my my my my my myRight in this moment this orders tallChorusAnd I told you to be patientAnd I told you to be fineAnd I told you to be balancedAnd I told you to be kindAnd in the morning Ill be with youBut it will be a different kindAnd Ill be holding all the ticketsAnd youll be owning all the finesVerse 2Come on skinny love what happened hereSuckle on the hope in light brassieresMy my my my my my my mySullen load is full so slow on the splitChorusAnd I told you to be patientAnd I told you to be fineAnd I told you to be balancedAnd I told you to be kindAnd now all your love is wastedAnd then who the hell was IAnd Im breaking at the britchesAnd at the end of all your linesVerse 3Who will love youWho will fightWho will fall far behind,2007,2000s
