,Please Don't Leave Me_P!nk
0,da
1,da
2,da
3,da
4,da
5,da
6,da
7,da
8,da
9,da
10,da
11,da
12,da
13,know
14,yell
15,louder
16,many
17,times
18,kicked
19,said
20,something
21,insulting
22,da
23,da
24,da
25,da
26,da
27,mean
28,wanna
29,capable
30,really
31,anything
32,cut
33,pieces
34,heart
35,broken
36,da
37,da
38,da
39,da
40,da
41,please
42,leave
43,please
44,leave
45,always
46,say
47,need
48,always
49,gonna
50,come
51,right
52,back
53,please
54,leave
55,become
56,obnoxious
57,makes
58,act
59,like
60,i've
61,never
62,nasty
63,can't
64,tell
65,contest
66,one
67,wins
68,one
69,hits
70,hardest
71,baby
72,mean
73,mean
74,promise
75,da
76,da
77,da
78,da
79,da
80,please
81,leave
82,oh
83,please
84,leave
85,leave
86,always
87,say
88,need
89,always
90,gonna
91,come
92,right
93,back
94,please
95,leave
96,forgot
97,say
98,loud
99,beautiful
100,really
101,can't
102,without
103,perfect
104,little
105,punching
106,bag
107,need
108,i'm
109,sorry
110,da
111,da
112,da
113,da
114,da
115,da
116,da
117,da
118,da
119,da
120,da
121,da
122,da
123,please
124,please
125,leave
126,baby
127,please
128,leave
129,leave
130,please
131,leave
132,always
133,say
134,always
135,say
136,need
137,always
138,gonna
139,come
140,right
141,back
142,please
143,leave
144,please
145,leave
146,always
147,say
148,need
149,always
150,gonna
151,come
152,right
153,back
154,please
155,please
156,leave
157,baby
158,please
159,please
160,leave
