,I Found A Reason_The Velvet Underground
0,pa
1,pa
2,pa
3,pa
4,pa
5,pa
6,pa
7,pa
8,pa
9,pa
10,pa
11,pa
12,pa
13,pa
14,pa
15,pa
16,pa
17,pa
18,pa
19,pa
20,pa
21,found
22,reason
23,keep
24,living
25,oh
26,reason
27,dear
28,oh
29,found
30,reason
31,keep
32,singing
33,oh
34,reason
35,dear
36,oh
37,believe
38,like
39,things
40,leave
41,place
42,never
43,gone
44,pa
45,pa
46,pa
47,pa
48,pa
49,pa
50,pa
51,pa
52,pa
53,pa
54,pa
55,pa
56,pa
57,pa
58,pa
59,pa
60,pa
61,pa
62,pa
63,pa
64,pa
65,honey
66,found
67,reason
68,keep
69,living
70,know
71,reason
72,dear
73,i've
74,walked
75,life's
76,lonely
77,highways
78,hand
79,hand
80,realized
81,many
82,paths
83,crossed
84,us
85,oh
86,believe
87,perceive
88,comes
89,better
90,came
91,guitar
92,solo
93,oh
94,believe
95,perceive
96,comes
97,better
98,came
99,pa
100,pa
101,pa
102,pa
103,pa
104,pa
105,pa
106,pa
107,pa
108,pa
109,pa
110,pa
111,pa
112,pa
113,pa
114,pa
115,pa
116,pa
117,pa
118,pa
119,pa
120,better
121,come
122,come
123,come
124,come
125,better
126,come
127,come
128,come
129,yeah
130,come
131,come
132,come
133,come
134,pa
135,pa
136,pa
137,pa
138,pa
139,pa
