,Lovin' You_Minnie Riperton
0,lovin'
1,easy
2,cause
3,beautiful
4,makin'
5,love
6,wanna
7,lovin'
8,dream
9,come
10,true
11,everything
12,lovin'
13,la
14,la
15,la
16,la
17,la
18,la
19,la
20,la
21,la
22,la
23,la
24,la
25,la
26,la
27,la
28,la
29,la
30,la
31,la
32,la
33,ooh
34,one
35,else
36,make
37,feel
38,colors
39,bring
40,stay
41,grow
42,old
43,live
44,day
45,springtime
46,cause
47,lovin'
48,made
49,life
50,beautiful
51,every
52,day
53,life
54,filled
55,lovin'
56,lovin'
57,see
58,soul
59,come
60,shinin'
61,every
62,time
63,ooh
64,i'm
65,love
66,la
67,la
68,la
69,la
70,la
71,la
72,la
73,la
74,la
75,la
76,la
77,la
78,la
79,la
80,la
81,la
82,la
83,la
84,la
85,la
86,ooh
87,one
88,else
89,make
90,feel
91,colors
92,bring
93,stay
94,grow
95,old
96,live
97,day
98,springtime
99,cause
100,lovin'
101,easy
102,cause
103,beautiful
104,every
105,day
106,life
107,filled
108,lovin'
109,lovin'
110,see
111,soul
112,come
113,shinin'
114,every
115,time
116,ooh
117,i'm
118,love
119,la
120,la
121,la
122,la
123,la
124,la
125,la
126,la
127,la
128,la
129,la
130,la
131,la
132,la
133,la
134,la
135,la
136,la
137,la
138,la
139,ooh
140,lovin'
141,la
142,la
143,la
144,la
145,la
146,la
147,la
148,la
149,la
150,la
151,dee
152,dee
153,dee
